2026-03-13 23:31:58.378 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4092s
2026-03-13 23:32:38.873 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4472s
2026-03-13 23:32:39.284 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4076s
2026-03-13 23:32:58.433 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 200 | 19.1448s
2026-03-13 23:33:48.851 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 401 | 0.0019s
2026-03-13 23:33:49.318 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4419s
2026-03-13 23:33:49.733 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4128s
2026-03-13 23:34:08.925 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 200 | 19.1867s
2026-03-13 23:34:09.365 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4132s
2026-03-13 23:34:09.775 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4075s
2026-03-13 23:34:28.903 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 200 | 19.1239s
2026-03-13 23:34:29.333 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4183s
2026-03-13 23:34:29.748 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4129s
2026-03-13 23:34:29.752 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 400 | 0.0022s
2026-03-13 23:34:29.757 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 400 | 0.0021s
2026-03-13 23:34:30.577 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.407s
2026-03-13 23:34:30.982 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4025s
2026-03-13 23:34:30.988 | INFO     | app.middleware.logging:logging_middleware:12 - GET /orders/track/1 | 200 | 0.0034s
2026-03-13 23:34:32.220 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.4127s
2026-03-13 23:34:32.623 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4007s
2026-03-13 23:34:32.629 | INFO     | app.middleware.logging:logging_middleware:12 - GET /orders/track/1 | 404 | 0.0028s
2026-03-13 23:35:21.262 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/ | 200 | 0.0035s
2026-03-13 23:35:22.124 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4108s
2026-03-13 23:35:22.129 | INFO     | app.middleware.logging:logging_middleware:12 - POST /discounts/ | 403 | 0.0031s
2026-03-13 23:35:22.603 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3998s
2026-03-13 23:35:23.004 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3981s
2026-03-13 23:35:23.008 | INFO     | app.middleware.logging:logging_middleware:12 - POST /discounts/ | 403 | 0.0019s
2026-03-13 23:35:23.019 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 200 | 0.002s
2026-03-13 23:35:23.827 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3988s
2026-03-13 23:35:23.832 | INFO     | app.middleware.logging:logging_middleware:12 - PUT /discounts/1 | 403 | 0.002s
2026-03-13 23:35:24.724 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4084s
2026-03-13 23:35:24.730 | INFO     | app.middleware.logging:logging_middleware:12 - DELETE /discounts/1 | 403 | 0.0027s
2026-03-13 23:36:17.906 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/ | 200 | 0.0035s
2026-03-13 23:36:19.482 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4068s
2026-03-13 23:36:20.133 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 200 | 0.002s
2026-03-13 23:36:54.346 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/ | 200 | 0.0035s
2026-03-13 23:36:55.211 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4189s
2026-03-13 23:36:55.219 | INFO     | app.middleware.logging:logging_middleware:12 - POST /discounts/ | 200 | 0.0054s
2026-03-13 23:36:55.627 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4003s
2026-03-13 23:36:56.029 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3995s
2026-03-13 23:36:56.034 | INFO     | app.middleware.logging:logging_middleware:12 - POST /discounts/ | 403 | 0.0021s
